OMR Version,Policy # (masked),Odom Reading 1 (Previous),Odom Reading 1 (Update),Odom Reading 2 (Previous),Odom Reading 2 (Update),Odom Reading 3 (Previous),Odom Reading 3 (Update),Odom Reading 4 (Previous),Odom Reading 4 (Update)
Sign Bottom,163,109111,112790,83562,104031,,,,
Sign Top,164,38409,73694,,,,,,
Sign Top,165,2820,19033,884,39263,,,,
Sign Bottom,166,89927,106207,,,,,,
Sign Top,167,54000,87917,,,,,,
Sign Top,168,36200,84843,1,24418,456,20647,,
Sign Bottom,169,50112,91739,77011,112606,,,,
Sign Bottom,170,75340,122725,70056,103880,79012,89377,,
Sign Top,171,8133,11912,,,,,,
Sign Bottom,172,17259,20872,54173,79389,,,,
Sign Top,173,26400,59788,48000,72497,,,,
Sign Bottom,174,94678,106982,,,4973,27149,,
Sign Top,175,68336,69348,990,18738,,,,
Sign Bottom,176,74956,106491,97621,130365,,,,
Sign Top,177,36631,74814,103651,146827,,,,
Sign Bottom,178,7871,41050,,,,,,
Sign Bottom,179,28047,37187,,,,,,
Sign Bottom,180,124622,163215,,,,,,
Sign Bottom,181,75919,105895,70097,91469,79932,129345,,
Sign Top,182,33800,56736,,,,,,
Sign Bottom,183,60085,74514,4500,48918,2564,43331,,
Sign Top,184,180729,203634,32802,82716,,,,
Sign Top,185,15138,29016,,,,,,
Sign Top,186,17284,32912,,,,,,
Sign Top,187,62315,96245,,,,,,
Sign Top,188,441,20768,154,42193,,,,
Sign Top,189,14,42134,,,,,,
Sign Bottom,190,37600,73833,,,,,,
Sign Top,191,40000,45721,,,,,,
Sign Top,192,10196,39044,,,,,,
Sign Top,193,18953,37064,32000,50340,,,,
Sign Bottom,194,63602,97404,,,,,,
Sign Top,195,63600,110370,,,,,,
Sign Top,196,67507,87153,,,,,,
Sign Top,197,308,29500,,,,,,
Sign Top,198,10000,15081,,,,,,
Sign Top,199,65980,104295,,,,,,
Sign Top,200,9063,40947,29224,57515,,,,
Sign Top,201,590,19316,63315,91411,,,,
Sign Bottom,202,50646,86640,,,,,,
Sign Top,203,23213,49047,,,,,20516,55095
Sign Bottom,204,88797,97380,66079,78161,,,,
Sign Top,205,61415,83697,5756,9068,,,,
Sign Bottom,206,32663,48844,,,,,,
Sign Top,207,126994,141997,23128,69278,,,,
Sign Bottom,208,51205,98064,22047,26593,,,43600,76920
Sign Bottom,209,82291,119431,62290,79055,,,,
Sign Bottom,210,185718,195924,,,,,,
Sign Bottom,211,75642,94148,,,67998,84459,,
Sign Top,212,63275,72883,,,78878,111883,,
Sign Top,213,5,31002,,,,,,
Sign Bottom,214,84780,110838,75642,79440,,,,
Sign Bottom,215,74007,77015,,,,,,
Sign Bottom,216,66782,112613,88544,94387,,,,
Sign Top,217,128503,165168,,,,,,
Sign Bottom,218,16910,31340,,,,,,
Sign Top,219,75813,95068,,,,,,
Sign Top,220,689,11841,56154,63691,72407,101274,,
Sign Bottom,221,55170,99166,,,,,,
Sign Bottom,222,81000,127399,68680,91653,,,,
Sign Top,223,101313,105928,62480,102352,,,,
Sign Top,224,79771,115333,,,,,,
Sign Top,225,18834,35961,130000,155833,,,,
Sign Top,226,98319,147607,74432,80291,,,,
Sign Top,227,12,49085,31364,33362,,,,
Sign Top,228,258934,288802,97490,114669,,,,
Sign Bottom,229,91289,112307,45785,58054,,,,
Sign Bottom,230,78946,109800,73714,103277,,,,
Sign Bottom,231,126940,151587,18,39807,,,,
Sign Top,232,119373,151859,,,,,,
Sign Bottom,233,181507,192554,,,,,,
Sign Bottom,234,40538,74941,,,,,,
Sign Bottom,235,118309,134879,86364,133066,,,,
Sign Bottom,236,130248,154030,,,,,,
Sign Bottom,237,160578,178701,,,,,,
Sign Top,238,70810,109296,,,,,,
Sign Top,239,55000,93963,60000,61619,,,,
Sign Bottom,240,96944,109908,,,,,,
Sign Top,241,51843,52074,74504,112429,,,,
Sign Top,242,67114,71020,,,,,743,21748
Sign Top,243,52878,100716,,,,,,
Sign Bottom,244,53635,88337,,,,,,
Sign Bottom,245,103548,106436,,,,,,
Sign Bottom,246,124399,127841,,,,,,
Sign Top,247,23000,36643,,,,,,
Sign Bottom,248,15033,39732,138584,156437,,,,
Sign Bottom,249,153619,197589,104590,151731,,,,
Sign Top,250,61501,69975,15720,25916,,,,
Sign Bottom,251,6053,40964,24663,71696,,,,
Sign Top,252,125832,132087,,,,,,
Sign Bottom,253,33092,52002,,,,,,
Sign Top,254,83573,108301,,,,,,
Sign Top,255,32518,77697,,,,,,
Sign Top,256,516,21437,686,42079,,,,
Sign Bottom,257,5645,16666,20739,52803,,,,
Sign Top,258,74650,91119,182795,220179,,,,
Sign Bottom,259,25070,42994,,,,,,
Sign Bottom,260,15490,18116,,,,,,
Sign Top,261,36000,80431,,,,,,
Sign Bottom,262,87831,90183,,,,,,
Sign Top,263,12000,16762,21538,69718,,,,
Sign Bottom,264,16287,42941,50099,88020,,,,
Sign Bottom,265,63949,110881,,,,,,
Sign Top,266,22552,63768,31575,47246,,,,
Sign Bottom,267,85833,132736,171548,215873,,,,
Sign Bottom,268,29466,50665,,,,,,
Sign Bottom,269,19525,19720,,,,,,
Sign Top,270,95000,128625,,,,,,
Sign Top,271,49340,74498,99000,119106,,,,
Sign Top,272,86052,105313,,,,,,
Sign Bottom,273,70000,118465,61873,108482,79146,121010,,
Sign Top,274,180000,206797,75000,121174,,,,
Sign Bottom,275,15031,43239,230000,275242,36930,85970,,
Sign Bottom,276,69438,76270,,,,,,
Sign Top,277,95000,114444,25000,34307,,,,
Sign Bottom,278,22009,44787,29622,78110,,,,
Sign Top,279,37573,55850,799,5758,,,,
Sign Top,280,111013,120209,,,,,,
Sign Top,281,133556,144897,112262,137827,,,,
Sign Top,282,88149,124474,94804,144632,,,,
Sign Bottom,283,92264,92710,,,,,,
Sign Top,284,6722,23878,,,,,,
Sign Bottom,285,48795,95386,211445,236005,,,,
Sign Top,286,74000,76766,,,,,,
Sign Top,287,17042,35653,1017,18714,,,,
Sign Top,288,122909,163225,,,61572,100255,,
Sign Bottom,289,85472,132388,,,,,,
Sign Bottom,290,68601,83651,,,,,,
Sign Bottom,291,58701,91946,,,,,,
Sign Bottom,292,57658,88770,,,,,72468,93255
Sign Bottom,293,51352,85295,,,,,,
Sign Bottom,294,53764,70606,,,,,,
Sign Top,295,33417,59752,,,,,,
Sign Bottom,296,80223,112940,4095,11159,,,,
Sign Top,297,524,28298,,,487,35203,,
Sign Bottom,298,93216,118199,,,,,,
Sign Bottom,299,51054,80935,120012,160582,,,,
Sign Top,300,112484,154782,,,,,,
Sign Bottom,301,86000,131981,,,,,,
Sign Bottom,302,28916,43113,132152,165024,,,,
Sign Bottom,303,67000,72551,88000,120412,,,,
Sign Top,304,417,2062,130953,179385,,,,
Sign Bottom,305,28410,30072,28867,57760,,,,
Sign Top,306,39203,41527,,,,,,
Sign Top,307,130081,146239,,,102406,122917,,
Sign Top,308,79158,103979,37878,52049,,,,
Sign Bottom,309,13405,30197,,,,,,
Sign Bottom,310,50880,90723,103236,130764,,,,
Sign Bottom,311,10738,60577,73633,74510,,,,
Sign Bottom,312,103136,109084,101677,114536,,,,
Sign Bottom,313,13401,13435,,,,,,
Sign Bottom,314,57734,80781,,,106141,131716,,
Sign Bottom,315,30687,60837,,,,,,
Sign Bottom,316,50751,76259,,,,,,
Sign Top,317,15,41852,53009,98724,,,,
Sign Top,318,62508,91575,,,,,,
Sign Top,319,86943,132888,81096,102682,,,,
Sign Top,320,59220,83592,35368,49292,,,,
Sign Top,321,27000,49976,,,,,,
Sign Top,322,110,13479,,,,,,
Sign Top,323,19303,51884,,,,,,
Sign Bottom,324,55091,100462,,,,,,
Sign Bottom,325,49352,85870,,,,,,
Sign Bottom,326,60081,98846,,,,,,
Sign Top,327,3372,17833,66,29473,6,45573,,
Sign Top,328,45000,64047,,,,,,
Sign Top,329,7055,51813,26662,61520,,,,
Sign Top,330,81877,109837,,,,,,
Sign Top,331,5000,10214,,,,,,
Sign Bottom,332,1721,30093,30482,38315,,,,
Sign Top,333,126451,176134,,,,,,
Sign Top,334,105663,137021,39942,79072,,,,
Sign Top,335,194770,232729,40000,41028,,,,
Sign Top,336,59230,80215,40087,44154,,,,
Sign Bottom,337,164132,202271,,,,,,
Sign Bottom,338,5920,52594,99499,103431,58347,84388,,
Sign Top,339,142471,172366,190248,218863,,,,
Sign Top,340,188688,197094,16191,20899,50113,89616,,
Sign Bottom,341,106629,109234,40026,85230,,,,
Sign Top,342,66000,80338,59000,80776,62000,102496,,
Sign Top,343,54778,90188,,,,,,
Sign Bottom,344,68826,113082,,,,,,
Sign Top,345,55152,97142,,,,,,
Sign Top,346,73507,75575,61000,76198,,,,
Sign Top,347,16140,58117,,,950,20444,,
Sign Bottom,348,140694,143900,,,105604,118952,,
Sign Top,349,74000,100732,31000,76163,,,,
Sign Top,350,1500,31422,,,,,,
Sign Top,351,41203,87570,47908,56733,,,83821,119320
Sign Top,352,150792,170680,42116,57487,,,,
Sign Bottom,353,84920,87973,41170,88372,,,,
Sign Top,354,230,22353,,,,,,
Sign Bottom,355,29325,67441,,,,,,
Sign Bottom,356,163538,212114,,,,,,
Sign Top,357,40366,64559,,,,,,
Sign Bottom,358,31500,32896,,,,,,
Sign Top,359,10307,19790,,,,,,
Sign Top,360,76674,84503,,,,,,
Sign Bottom,361,388,10410,,,,,,
Sign Top,362,6966,18936,6923,29118,,,,
Sign Top,363,34000,45366,32613,81098,,,,
Sign Bottom,364,155750,169405,32490,53475,65049,74442,,
Sign Top,365,57000,106260,80000,83029,200,30783,,
Sign Top,366,8460,39733,,,,,,
Sign Top,367,5,40044,16565,25368,,,,
Sign Top,368,116140,145201,72371,74420,,,,
Sign Top,369,112000,129079,68691,78326,,,7000,19285
Sign Top,370,83436,121126,,,,,,
Sign Top,371,29530,52362,180,23273,,,,
Sign Top,372,8973,40030,125395,175171,,,,
Sign Top,373,135741,158572,,,,,,
Sign Top,374,700,2824,,,,,,
Sign Bottom,375,78706,115809,,,,,,
Sign Top,376,140581,167764,,,,,,
Sign Top,377,40727,47378,,,,,,
Sign Top,378,31094,52408,3421,46100,,,,
Sign Bottom,379,67544,70788,77852,97549,,,,
Sign Top,380,119547,124356,112130,141263,,,,
Sign Bottom,381,30521,74420,135649,142579,,,,
Sign Top,382,19884,45284,5990,10595,,,,
Sign Bottom,383,28482,62784,,,,,,
Sign Top,384,12817,31278,44761,80567,,,,
Sign Bottom,385,35293,41122,,,,,,
Sign Bottom,386,184251,207277,,,,,,
Sign Bottom,387,74624,105254,,,,,,
Sign Top,388,4000,13063,37126,86528,,,,
Sign Top,389,60049,62124,52000,64764,,,,
Sign Top,390,17000,39480,23000,50059,,,,
Sign Top,391,103000,118672,49142,81529,,,,
Sign Bottom,392,24712,63922,,,,,,
Sign Top,393,98980,120776,81376,112853,,,,
Sign Bottom,394,52312,56689,,,,,,
Sign Bottom,395,124771,160453,,,,,,
Sign Top,396,60000,90971,75000,111988,,,,
Sign Bottom,397,83118,110667,38508,50882,80640,96154,,
Sign Top,398,135514,183033,,,90673,127536,,
Sign Top,399,56000,95261,,,,,,
Sign Bottom,400,63640,73813,,,,,,
Sign Top,401,70807,102624,,,,,,
Sign Top,402,43935,79123,,,,,,
Sign Bottom,403,57471,83206,,,,,,
Sign Top,404,57343,105126,78344,112703,,,,
Sign Top,405,86024,121354,,,,,,
Sign Bottom,406,111023,126050,41810,51382,,,,
Sign Bottom,407,55619,61204,13587,61895,18791,19703,,
Sign Bottom,408,70619,75232,26342,28713,,,,
Sign Bottom,409,83866,112668,,,,,,
Sign Top,410,31026,53379,,,,,,
Sign Top,411,50451,52603,,,,,,
Sign Bottom,412,149040,173350,34913,47113,,,,
Sign Bottom,413,92255,127196,,,,,,
Sign Bottom,414,16665,47710,174231,219902,,,,
Sign Top,415,50,37785,,,,,,
Sign Bottom,416,37914,40800,,,,,35395,69232
Sign Bottom,417,64063,111737,,,,,,
Sign Bottom,418,174000,190309,172000,184679,,,,
Sign Top,419,30078,68431,,,,,,
Sign Top,420,22668,60776,24276,61209,,,,
Sign Top,421,49520,63203,,,,,,
Sign Top,422,65641,99294,100094,139485,,,,
Sign Top,423,50206,66021,163430,174635,,,,
Sign Top,424,28500,55046,15800,37962,,,,
Sign Bottom,425,108668,126066,,,,,,
Sign Top,426,121446,134330,,,,,,
Sign Top,427,46356,55026,,,,,,
Sign Top,428,65000,85462,21,21235,5,39741,,
Sign Bottom,429,37562,46841,,,,,,
Sign Bottom,430,51442,101127,,,,,,
Sign Bottom,431,132352,158088,105347,117809,,,,
Sign Top,432,79448,84471,,,,,,
Sign Bottom,433,7912,57607,,,,,,
Sign Bottom,434,119160,167842,,,,,,
Sign Top,435,76724,114698,270,13510,,,,
Sign Bottom,436,163325,196484,,,,,,
Sign Top,437,47900,82509,,,,,,
Sign Top,438,4144,24066,,,36010,62216,,
Sign Bottom,439,64885,84589,30983,41975,,,,
Sign Top,440,10553,26214,122218,124320,,,,
Sign Top,441,100131,118517,,,,,891,36940
Sign Bottom,442,114503,121297,,,,,,
Sign Top,443,40681,49036,,,,,,
Sign Bottom,444,60829,66243,39335,80243,,,,
Sign Bottom,445,49620,59504,,,,,,
Sign Bottom,446,226651,257155,235638,252716,,,,
Sign Bottom,447,160242,198831,,,,,,
Sign Top,448,19000,32088,,,,,,
Sign Bottom,449,17934,37904,29607,77872,,,,
Sign Bottom,450,113091,127912,77124,104783,74177,88349,,
Sign Top,451,127039,144415,,,,,,
Sign Top,452,59000,85230,,,,,,
Sign Top,453,170095,175156,,,,,,
Sign Bottom,454,27281,38224,,,,,,
Sign Bottom,455,3616,38043,,,,,,
Sign Bottom,456,94367,131333,36514,68044,,,,
Sign Top,457,30200,67726,,,,,10,10908
Sign Bottom,458,43699,47174,,,,,,
Sign Bottom,459,167289,193307,,,,,,
Sign Bottom,460,36428,60667,,,,,,
Sign Bottom,461,11183,58342,112123,125234,,,,
Sign Bottom,462,46625,65756,,,,,,
Sign Bottom,463,128922,133045,121270,154071,,,,
Sign Bottom,464,29358,45645,41000,82066,,,,
Sign Top,465,28528,72313,54349,70469,,,,
Sign Bottom,466,12987,47768,,,,,,
Sign Top,467,20630,66498,80550,111797,,,,
Sign Bottom,468,22106,27210,,,,,,
Sign Bottom,469,69226,94767,31036,56331,,,,
Sign Bottom,470,10155,16855,,,,,,
Sign Top,471,165670,200555,,,,,,
Sign Top,472,35000,77533,25000,45285,,,,
Sign Bottom,473,33923,53765,99855,123832,,,,
Sign Bottom,474,44836,53984,101441,116208,,,,
Sign Top,475,11640,56518,,,,,,
Sign Bottom,476,2469,26902,,,,,,
Sign Top,477,89000,126481,,,,,,
Sign Bottom,478,21353,61527,,,,,,
Sign Top,479,58858,68684,34701,70327,,,,
Sign Bottom,480,35213,48925,,,,,,
Sign Bottom,481,136355,140915,210609,230514,,,,
Sign Top,482,125000,134563,38305,41986,,,,
Sign Bottom,483,72805,99513,,,,,,
Sign Top,484,155755,161873,9513,23449,,,,
Sign Bottom,485,25300,46929,84875,134506,,,,
Sign Bottom,486,69443,115999,,,,,,
Sign Top,487,584,46218,28187,49020,,,,
Sign Top,488,60767,87891,,,,,,
Sign Bottom,489,12339,48554,,,,,,
Sign Top,490,91085,103576,61637,74097,,,,
Sign Bottom,491,80019,125767,4083,51738,,,,
Sign Bottom,492,5711,27167,,,,,,
Sign Top,493,196,4612,,,87290,90114,,
Sign Top,494,64882,108122,,,,,,
Sign Top,495,0,13975,,,22000,61459,,
Sign Bottom,496,44465,74060,,,,,,
Sign Top,497,20649,31329,144655,184146,78945,115812,,
Sign Top,498,25000,54206,,,55095,71214,,
Sign Bottom,499,32876,74944,,,,,,
Sign Top,500,100462,119060,,,,,,
Sign Top,501,46180,75462,,,,,,
Sign Top,502,85099,117159,150464,185214,,,,
Sign Top,503,6000,42577,,,,,,
Sign Top,504,22079,57179,,,,,,
Sign Bottom,505,240388,247257,,,47442,61948,,
Sign Bottom,506,46763,63089,,,,,,
Sign Bottom,507,61406,76405,36756,82634,,,,
Sign Bottom,508,80350,85612,,,,,,
Sign Bottom,509,108683,111819,75151,117111,,,,
Sign Bottom,510,156325,197836,52972,68904,,,,
Sign Top,511,31212,71663,120267,141200,40420,76472,,
Sign Top,512,17982,61435,,,,,,
Sign Bottom,513,0,6482,46038,90726,,,,
Sign Bottom,514,37256,51441,,,,,,
Sign Top,515,15000,19135,234000,261539,,,,
Sign Top,516,44000,72988,,,,,,
Sign Bottom,517,69691,80587,44940,63199,,,,
Sign Bottom,518,38572,48322,13864,24313,,,,
Sign Bottom,519,109145,124647,,,,,,
Sign Top,520,39931,42992,8256,54678,,,,
Sign Top,521,38000,71754,48000,95225,,,,
Sign Bottom,522,37251,75495,,,,,,
Sign Bottom,523,20810,48081,,,,,,
Sign Top,524,106747,121788,,,,,,
Sign Top,525,18520,64606,,,,,,
Sign Bottom,526,69971,84704,,,,,,
Sign Top,527,25,1882,,,,,,
Sign Top,528,68470,110099,,,,,,
Sign Bottom,529,76227,113656,192936,229633,,,,
Sign Bottom,530,66426,113584,90845,134690,,,,
Sign Top,531,78984,92713,,,,,,
Sign Top,532,117184,149819,,,,,,
Sign Top,533,1040,22252,,,,,,
Sign Top,534,110000,148923,,,,,,
Sign Bottom,535,96055,123653,,,,,,
Sign Top,536,24561,26201,149052,183621,,,,
Sign Top,537,139673,179679,,,,,,
Sign Bottom,538,33300,82080,,,,,,
Sign Top,539,147426,193377,,,,,,
Sign Top,540,81500,125886,,,,,,
Sign Bottom,541,132367,173972,98918,145684,28534,63535,,
Sign Top,542,12014,33649,,,,,,
Sign Bottom,543,11569,39444,,,,,,
Sign Bottom,544,91833,115105,21408,30916,,,,
Sign Bottom,545,4244,32529,,,,,,
Sign Top,546,64972,67097,,,32113,79028,,
Sign Top,547,82139,112827,27000,49929,,,,
Sign Bottom,548,34107,57071,6425,11828,74069,93146,,
Sign Bottom,549,17868,40476,,,,,,
Sign Bottom,550,29030,50419,15732,31648,,,,
Sign Bottom,551,43343,70262,,,58039,98013,,
Sign Bottom,552,27132,73738,130743,152051,105704,122566,,
Sign Bottom,553,56229,91356,,,,,,
Sign Top,554,22054,25074,,,,,,
Sign Top,555,525,2116,,,70328,91007,772,17623
Sign Top,556,43000,75672,,,,,,
Sign Bottom,557,9761,57597,99569,100774,,,,
Sign Bottom,558,30825,43184,,,,,,
Sign Top,559,35000,63599,,,,,,
Sign Bottom,560,135517,164118,41261,73717,,,,
Sign Bottom,561,14133,21506,7317,7856,,,,
Sign Top,562,31948,66744,101000,148269,,,59145,103121
Sign Top,563,70000,112112,,,,,,
Sign Top,564,141395,165486,,,,,,
Sign Bottom,565,81031,115035,122933,152366,8657,10021,,
Sign Top,566,38036,39109,,,,,,
Sign Bottom,567,58895,85567,50226,91554,,,,
Sign Bottom,568,70155,89265,104005,123473,,,,
Sign Bottom,569,120099,126592,54932,83593,154345,171083,,
Sign Bottom,570,65134,110175,19871,68978,,,,
Sign Bottom,571,51305,56027,,,,,,
Sign Bottom,572,53676,54319,,,,,,
Sign Bottom,573,65662,83466,,,,,4042,10260
Sign Bottom,574,132352,148363,,,,,,
Sign Bottom,575,76191,117339,87746,106676,,,,
Sign Top,576,133000,163394,,,28000,73319,,
Sign Top,577,6726,13538,,,,,,
Sign Top,578,45110,88130,,,37542,83751,,
Sign Bottom,579,16874,66794,,,,,,
Sign Top,580,37000,56508,21430,34269,,,,
Sign Bottom,581,21596,39227,53168,87360,121567,128034,,
Sign Top,582,34656,69803,,,62000,82703,,
Sign Bottom,583,10042,31985,,,,,,
Sign Top,584,9540,19835,35446,52353,,,,
Sign Bottom,585,70214,115329,,,,,,
Sign Bottom,586,71000,71250,,,,,,
Sign Bottom,587,31523,54123,,,,,,
Sign Bottom,588,120183,133105,87937,94537,,,,
Sign Bottom,589,80873,104130,,,,,,
Sign Bottom,590,56000,84416,89993,110903,,,,
Sign Top,591,8,40574,,,,,,
Sign Bottom,592,153540,176514,,,,,,
Sign Bottom,593,44608,50318,17019,63760,,,,
Sign Top,594,32168,47138,44395,83342,,,,
Sign Top,595,50000,97950,,,,,,
Sign Bottom,596,67563,75570,,,,,,
Sign Top,597,27232,49183,,,,,,
Sign Top,598,141362,186709,128506,165919,,,,
